Organisation_Code,Legal Name,Business Name(s),Is RTO,Status,Registration Manager,Legal Authority,Initial Registration Date,Registration Start Date,Registration End Date,Registration End Reason,Head Office Physical Address,Head Office Location State,Latitude,Longitude,VET Org Role,RTO Type,ABN,ACN,URL,CEO Contact Name,CEO Email,CEO Mobile,CEO Phone,Public Enquiries Contact Name,Public Enquiries Contact Role Job Title,Public Enquiries Group Name,Public Enquiries Organisation,Public Enquiries Email,Public Enquiries Mobile,Public Enquiries Phone,Registration Enquiries Contact Name,Registration Enquiries Contact Role Job Title,Registration Enquiries Email,Registration Enquiries Mobile,Registration Enquiries Phone,NSW Delivery Approved,VIC Delivery Approved,QLD Delivery Approved,SA Delivery Approved,WA Delivery Approved,TAS Delivery Approved,NT Delivery Approved,ACT Delivery Approved,International Delivery Approved,Current Restriction/Regulatory Decision
30395,Maleny State High School,Maleny State High School,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,1/01/1998,5/12/2022,31/12/2028,,"BUNYA ST, Maleny, QLD, 4552",Queensland,-26.75951,152.85433,,School - Government,29202854314,,http://www.malenyshs.eq.edu.au,Ms. Deborah Stewart,dstew1@eq.edu.au,754998111,754998111,Mr Rodney Wodson,Registration enquiries,,Maleny State High School,rwods1@eq.edu.au,,754998121,Mr Rodney Wodson,Registration enquiries,rwods1@eq.edu.au,,754998121,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
30396,Mansfield State High School,Mansfield State High School,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,1/01/1998,7/03/2025,31/12/2030,,"328 Broadwater Road, MANSFIELD, QLD, 4122",Queensland,-27.5443,153.10707,,School - Government,33963248177,,http://www.mansfielshs.eq.edu.au/,Ms Karen Tanks,ktank1@eq.edu.au,733382022,733382022,Mrs. Kerri Hixon,Public enquiries,,Mansfield State High School,khixo1@eq.edu.au,734525333,734525333,Ms Madeline Wust,VET Registration Enquiries,mwust9@eq.edu.au,,734525333,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
30397,Maroochydore State High School,Maroochydore State High School,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,1/01/1998,1/01/2023,31/12/2028,,"Maroochydore Road, Maroochydore, QLD, 4558",Queensland,-26.66183,153.04777,,School - Government,58033818276,,http://www.maroochyshs.eq.edu.au,Mr David Samaha,dsama3@eq.edu.au,,(07)54097333,Ms Liana Gerbo,HOD Home Economics/Vocational Education,,Maroochydore State High School,lgerb1@eq.edu.au,754097333,754097333,Ms Liana Gerbo,HOD Home Economics/Vocational Education,lgerb1@eq.edu.au,754097333,754097333,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
30399,Mirani State High School,Mirani State High School,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,1/01/1998,1/01/2023,31/12/2028,,"AUGUSTA ST, Mirani, QLD, 4754",Queensland,-21.15983,148.86214,,School - Government,86876754498,,http://www.miranishs.eq.edu.au,Mr Matthew Horton,mhort5@eq.edu.au,,749559222,Ms Sandy Grace,Public enquiries,,Mirani State High School,sgrac13@eq.edu.au,749667111,749667111,Ms Sandy Grace,Registration enquiries,sgrac13@eq.edu.au,749667111,749667111,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
30400,Mitchelton State High School,Mitchelton State High School,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,1/01/1998,1/07/2021,31/12/2025,,"754 Samford  Road, Everton Park, QLD, 4053",Queensland,-27.41169,152.96723,,School - Government,33901979534,,http://www.mitcheltshs.eq.edu.au,Mr John Searle,jsear13@eq.edu.au,735501111,735501111,Ms Kate Turner,Public Enquiries,,Mitchelton State High School,kmtur0@eq.edu.au,,735501111,Mr. Christopher Hudson,RTO Manager,chuds56@eq.edu.au,735501111,735501111,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
30401,Monto State High School,Monto State High School,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,1/01/1998,5/12/2023,31/12/2029,,"1 Mouatt Street, Monto, QLD, 4630",Queensland,-24.86976,151.11644,,School - Government,60599523280,,http://www.montoshs.eq.edu.au,Mrs Kelly Kuhz,kkuhz1@eq.edu.au,747546555,741669555,Ms Donna Zumbansen,Public enquiries,,Monto State High School,dzumb1@eq.edu.au,,741669555,Ms Donna Zumbansen,Registration enquiries,dzumb1@eq.edu.au,,741669555,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
30402,Moranbah State High School,Moranbah State High School,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,1/01/1998,1/01/2023,31/12/2028,,"Mills Avenue, Moranbah, QLD, 4744",Queensland,-22.00167,148.05494,,School - Government,67575392310,,http://www.moranbahshs.eq.edu.au,Ms Michelle Pole,mpole1@eq.edu.au,,420862844,Mr Ashley Spain,Public enquiries,,Moranbah State High School,aspai8@eq.edu.au,,749492111,Mr Ashley Spain,Registration Enquiries,aspai8@eq.edu.au,,749492111,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
30403,Morayfield State High School,Morayfield State High School,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,1/01/1998,1/07/2021,31/12/2027,,"Visentin Road, Morayfield, QLD, 4506",Queensland,-27.10413,152.9537,,School - Government,71175096332,,http://www.morayfieldshs.eq.edu.au,Mr Peter Keen,pkeen4@eq.edu.au,,409584294,Mrs Julie Mabb,Public Enquiries,,Morayfield State High School,jmabb1@eq.edu.au,,754285524,Mrs Susan Davie,RTO Manager,sxdav16@eq.edu.au,404060597,754285524,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
30406,Mount Gravatt State High School,Mount Gravatt State High School,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,1/01/1998,5/12/2022,31/12/2028,,"Loreburn Street., Mount Gravatt, QLD, 4122",Queensland,-27.53495,153.07344,,School - Government,35401066708,,http://www.mtgravattshs.eq.edu.au,Mr Andrew Beattie,abeat8@eq.edu.au,,732915222,Mrs Sandra Wilson,HOD,,Mount Gravatt State High School,swils118@eq.edu.au,732915222,732915222,Mrs Sandra Wilson,RTO Manager,swils118@eq.edu.au,732915222,732915222,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
30409,Mount Morgan State High School,Mount Morgan State High School,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,1/01/1998,1/07/2021,31/12/2027,,"4 CENTRAL ST, Mount Morgan, QLD, 4714",Queensland,-23.64661,150.3874,,School - Government,46630826250,,http://www.mtmorganshs.eq.edu.au,Mr James Lye,jlye22@eq.edu.au,,(07)47904333,Ms. Kim Snell,RTO Manager,,Mount Morgan State High School,ksnel11@eq.edu.au,,749125555,Ms. Kim Snell,RTO Manager,ksnel11@eq.edu.au,,749125555,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
30410,The Roman Catholic Trust Corporation for the Diocese of Cairns,,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,1/01/1998,1/01/2023,31/12/2028,,"BROADWAY, Herberton, QLD, 4887",Queensland,-17.37723,145.38402,,School - Catholic,42498340094,,http://www.msb.qld.edu.au,Mrs. Narelle Hunt,nhunt@cns.catholic.edu.au,459961325,740961444,Mr Matthew Brauer,Deputy Principal - Curriculum,,The Roman Catholic Trust Corporation for the Diocese of Cairns,mbrauer@cns.catholic.edu.au,,(07)40961444,Mr Matthew Brauer,Registration enquiries,mbrauer@cns.catholic.edu.au,,(07)40961444,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
30411,Mountain Creek State High School,Mountain Creek State High School,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,1/01/1998,4/12/2023,31/12/2029,,"Lady Musgrave Drv, Mountain Creek, QLD, 4557",Queensland,-26.69103,153.10395,,School - Government,84501176588,,http://www.mountaincreekshs.eq.edu.au,Mr. Brian Parr,bparr11@eq.edu.au,754578333,754578333,Mr Sandro Cossa,Public enquiries,,Mountain Creek State High School,scoss6@eq.edu.au,54578333,54578333,Mr Sandro Cossa,Registration enquiries,scoss6@eq.edu.au,54578333,54578333,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
30414,Mueller College Limited,Mueller College,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,1/01/1998,5/12/2022,31/12/2028,,"Suite 4, 75 Morris Road, Rothwell, QLD, 4022",Queensland,-27.21137,153.06232,,School - Independent,48011019113,11019113,http://www.mueller.qld.edu.au,Mr Paul Valese,p.valese@mueller.qld.edu.au,,738972725,Ms. Brynley Sadler,RTO Manager,,Mueller College Limited,b.sadler@mueller.qld.edu.au,(07)38972990,(07)38972990,Ms. Brynley Sadler,RTO Manager,b.sadler@mueller.qld.edu.au,(07)38972990,(07)38972990,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
30415,Nanango State High School,Nanango State High School,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,1/01/1998,1/01/2022,31/12/2027,,"54 Elk Street, Nanango, QLD, 4615",Queensland,-26.66565,151.99298,,School - Government,49856573901,,,Mr Mark Freeman,mfree36@eq.edu.au,,477320459,Miss Annette Falvey,VET General Enquiries,,Nanango State High School,afalv5@eq.edu.au,,741716444,Mr Cheyne Kerr,VET Registration Enquiries,ckerr23@eq.edu.au,741716444,741716444,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
30416,Bracken Ridge State High School,Bracken Ridge State High School,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,1/01/1998,1/01/2024,31/12/2029,,"68 Barfoot Street, Bracken Ridge, QLD, 4017",Queensland,-27.31004,153.04367,,School - Government,92907995950,,http://www.bracridgshs.eq.edu.au,Mrs Michelle Lyons,mlyon23@eq.edu.au,436932227,738697222,Ms Heatherbell Fanani,Public Enquiries,,Bracken Ridge State High School,hfana0@eq.edu.au,6138697222,738697222,Miss Melanie Coghill,Registration Enquiries,mcogh11@eq.edu.au,738697222,738697222,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
30417,Noosa District State High School,Noosa District State High School,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,1/01/1998,1/01/2024,31/12/2029,,"Tulip Street, Cooroy, QLD, 4563",Queensland,-26.42415,152.90975,,School - Government,51001743654,,http://www.noosadistrictshs.eq.edu.au,Ms. Stacy Wilmore,swilm8@eq.edu.au,,754722211,Mrs. Patricia Riley,HOD - Senior School,,Noosa District State High School,prile7@eq.edu.au,54722222,54722222,Mrs. Patricia Riley,RTO Manager,prile7@eq.edu.au,54722222,54722222,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
30418,Bundaberg North State High School,Bundaberg North State High School,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,1/01/1998,1/01/2024,31/12/2029,,"9 Marks Street, Bundaberg North, QLD, 4670",Queensland,-24.84825,152.33871,,School - Government,57773667169,,http://www.bundnortshs.eq.edu.au,Mr Alan Martin,amart93@eq.edu.au,,741300222,Mr Alan Martin,Public Enquiries,,Bundaberg North State High School,amart93@eq.edu.au,,741300222,Mr. Nigel Shield,RTO Manager,nshie8@eq.edu.au,741300222,741300222,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
30419,Oakey State High School,Oakey State High School,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,1/01/1998,1/07/2021,31/12/2025,,"1 Campbell Street, Oakey, QLD, 4401",Queensland,-27.43837,151.72066,,School - Government,24946351672,,http://www.oakeyshs.eq.edu.au,Mr Daniel Keenan,vetcareers@oakeyshs.eq.edu.au,,(07)46914100,Mr Brett Bizzell,Public enquiries,,Oakey State High School,bbizz2@eq.edu.au,,(07)46914100,Mr Jake McGrath,Registration enquiries,vetcareers@oakeyshs.eq.edu.au,,(07)46914100,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
30421,Park Ridge State High School,Park Ridge State High School,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,1/01/1998,1/01/2023,31/12/2028,,"Lancewood Street, Park Ridge, QLD, 4125",Queensland,-27.70092,153.0331,,School - Government,81852928277,,http://www.parkridgeshs.eq.edu.au,Ms Sharon Amos,samos1@eq.edu.au,733804111,733804111,Mr Anthony Hillas,Deputy Principal,,Park Ridge State High School,ahill10@eq.edu.au,,733804111,Mr Lachlan Moore,VET Registration Enquiries,ldmoo0@eq.edu.au,,733804111,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
30423,PINE RIVERS STATE HIGH SCHOOL,Pine Rivers State High School,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,1/01/1998,1/01/2022,31/12/2027,,"535 Gympie Rd, STRATHPINE, QLD, 4500",Queensland,-27.29677,152.98706,,School - Government,68134109869,,http://www.pineriversshs.eq.edu.au,Mr Richard James,rjame4@eq.edu.au,738814700,738814700,Ms Carol Brodie,HOD - Senior Schooling,,PINE RIVERS STATE HIGH SCHOOL,cbrod2@eq.edu.au,,738814700,Ms Carol Brodie,RTO Manager,cbrod2@eq.edu.au,,738814700,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
30424,Pioneer State High School,Pioneer State High School,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,1/01/1998,1/01/2025,31/12/2030,,"Bedford Road, Andergrove, QLD, 4740",Queensland,-21.09729,149.18067,,School - Government,46760842179,,http://pioneershs.eq.edu.au,Mrs. Lisa Veney,lvene1@eq.edu.au,,749559222,Mrs Sarah Munns,RTO Manager,,Pioneer State High School,smunn6@eq.edu.au,,749559222,Ms. Sally Munns,RTO Manager,smunn6@eq.edu.au,749559222,749559222,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
30425,Pittsworth State High School,Pittsworth State High School,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,1/01/1998,1/01/2025,31/12/2030,,"Factory Street, Pittsworth, QLD, 4356",Queensland,-27.71293,151.64309,,School - Government,52805396030,,http://www.pittsworshs.eq.edu.au,Daniel Norris,NorrisD@eq.edu.au,746568888,746568888,Mrs Anneline Oberholzer,Public enquiries,,Pittsworth State High School,aober3@eq.edu.au,,746198111,Mr. Anthony Murphy,Registration enquiries,amurp95@eq.edu.au,746198111,746198111,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
30430,Redcliffe State High School,Redcliffe State High School,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,1/01/1998,6/03/2024,31/12/2030,,"Cnr Klingner Road and Oxley Avenue, Redcliffe, QLD, 4020",Queensland,-27.22275,153.11109,,School - Government,11498805796,,http://www.redcliffeshs.eq.edu.au,Mr Barry Wallett,bwall44@eq.edu.au,38971111,38971111,Mr Ben Vikionkorpi,Public Enquiries,,Redcliffe State High School,bviki2@eq.edu.au,38971111,38971111,Mr Ben Vikionkorpi,RTO Manager,bviki2@eq.edu.au,38971111,38971111,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
30432,Sandgate District State High School,Sandgate District State High School,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,1/01/1998,1/07/2021,31/12/2025,,"41 BRAUN ST, Deagon, QLD, 4017",Queensland,-27.33019,153.05513,,School - Government,50284261595,,https://sandgatedistrictshs.eq.edu.au/,Mr Anastasious Stergou,aster4@eq.edu.au,,738699888,Ms Teresa Ryan,RTO Manager,,Sandgate District State High School,tryan135@eq.edu.au,,738699888,Ms Teresa Ryan,RTO Manager,tryan135@eq.edu.au,,738699888,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
30433,Sarina State High School,Sarina State High School,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,1/01/1998,5/12/2021,31/12/2027,,"ANZAC ST, Sarina, QLD, 4737",Queensland,-21.42077,149.21246,,School - Government,83430606490,,http://www.sarinashs.eq.edu.au,Mrs Jane Grieger,jgrie16@eq.edu.au,455094327,455094327,Mrs. Trudy Berry,Public Enquries,,Sarina State High School,tberr23@eq.edu.au,,749438111,Mrs. Trudy Berry,Registration Enquiries,tberr23@eq.edu.au,,749438111,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
30434,Shailer Park State High School,Shailer Park State High School,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,1/01/1998,1/01/2025,31/12/2030,,"Leaf Street, Shailer Park, QLD, 4128",Queensland,-27.66193,153.18603,,School - Government,62763392790,,http://www.shailerparkshs.eq.edu.au,Ms Megan Herbert,mherb20@eq.edu.au,429475639,34512777,Ms Aleisha Neumann,VET General Enquiries,,Shailer Park State High School,aneum23@eq.edu.au,734512777,734512777,Mr Luke Simpson,VET Registration Enquiries,Lsimp140@eq.edu.au,421827750,421827750,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
30438,SUNNYBANK STATE HIGH SCHOOL,Sunnybank State High School,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,1/01/1998,1/01/2023,31/12/2028,,"96 Turton St, SUNNYBANK, QLD, 4109",Queensland,-27.57664,153.0583,,School - Government,11221595084,,http://www.sunnybanshs.eq.edu.au,Carmen Anderson,cande87@eq.edu.au,431216654,733238111,Ms Robyn Pedler,VET General Enquiries,,SUNNYBANK STATE HIGH SCHOOL,rpedl3@eq.edu.au,,733238111,Ms Robyn Pedler,VET Registration Enquiries,rpedl3@eq.edu.au,,733238111,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
30439,Sunshine Beach State High School,Sunshine Beach State High School,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,1/01/1998,1/01/2023,31/12/2028,,"45 Ben Lexcen Drive, Sunshine Beach, QLD, 4567",Queensland,-26.4091,153.09901,,School - Government,92149243186,,http://sunshinebeachhigh.eq.edu.au,Mr Anthony Swan,aswan26@eq.edu.au,,(07)54404269,Mr Joel Purdon,VET Registration Enquiries,,Sunshine Beach State High School,jpurd31@eq.edu.au,,754404228,Mr Joel Purdon,VET General Enquiries,jpurd31@eq.edu.au,,754404228,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
30441,Thuringowa State High School,Thuringowa State High School,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,1/01/1998,1/01/2022,31/12/2027,,"26-54 South Vickers Road, Condon, QLD, 4815",Queensland,-19.33472,146.71891,,School - Government,61203036027,,http://www.thuringowashs.eq.edu.au,Mr Peter Stumer,pstum1@eq.edu.au,,747538888,Miss India Russoniello,VET Coordinator,,Thuringowa State High School,inrus0@eq.edu.au,,747538862,Miss India Russoniello,VET Coordinator,inrus0@eq.edu.au,,747538862,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
30444,Toolooa State High School,,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,1/01/1998,1/01/2023,31/12/2028,,"PHILLIP ST, South Gladstone, QLD, 4680",Queensland,-23.8741,151.26327,,School - Government,82502776675,,http://www.toolooashs.eq.edu.au,Mr. Justin Harrison,the.principal@toolooashs.eq.edu.au,749714333,749714333,Mr Darren Boase,Public enquiries,,Toolooa State High School,dboas1@eq.edu.au,749714333,749714333,Mr Darren Boase,Registration enquiries,dboas1@eq.edu.au,749714333,749714333,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
30445,Townsville State High School,Townsville State High School,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,1/01/1998,1/01/2023,31/12/2028,,"36 Boundary Street, Townsville, QLD, 4810",Queensland,-19.27355,146.81066,,School - Government,37877908188,,http://www.townsvilleshs.eq.edu.au,Mr Murray James,mjame49@eq.edu.au,,(07)47268333,Ms Amanda Maynard,Public enquiries,,Townsville State High School,amayn30@eq.edu.au,,(07)47218777,Mrs. Rosalind Dowd,Registration enquiries,rdowd11@eq.edu.au,414998729,747218777,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
30446,Trinity Bay State High School,Trinity Bay State High School,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,1/01/1998,1/01/2024,31/12/2029,,"26-62 Hoare Street, Manunda, QLD, 4870",Queensland,-16.92151,145.75188,,School - Government,60518498984,,http://www.trinbayshs.eq.edu.au,Mr. Anthony Whybird,Awhyb3@eq.edu.au,409912688,740305222,Mrs Angela Howarth,Public Enquiries,,Trinity Bay State High School,ajhow0@eq.edu.au,,740375223,Ms Lisa Plath,VET Registration Enquiries,lvinc6@eq.edu.au,,740375222,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
30447,Tullawong State High School,Tullawong State High School,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,1/01/1998,1/07/2021,31/12/2027,,"22 Del Rosso Road, Caboolture, QLD, 4510",Queensland,-27.06921,152.92859,,School - Government,96159089780,,http://www.tullawongshs.eq.edu.au,Mrs. Kerrie Scott,kscot129@eq.edu.au,,754285222,Mr Harley Kowald-Dawson,Public enquiries,,Tullawong State High School,Hrkow0@eq.edu.au,,754285222,Mr Harley Kowald-Dawson,Registration enquiries,Hrkow0@eq.edu.au,,754285222,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
30448,Tully State High School,Tully State High School,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,1/01/1998,1/01/2024,31/12/2029,,"59337 BRUCE HWY, Tully, QLD, 4854",Queensland,-17.94065,145.93143,,School - Government,66325168875,,,Ms Helen Carne,hcarn2@eq.edu.au,407617134,740684555,Ms. Robyn Sloan-Orlandi,Head of Senior Secondary,,Tully State High School,rsloa5@eq.edu.au,(07)40684555,(07)40684555,Ms. Robyn Sloan-Orlandi,Head of Senior Secondary,rsloa5@eq.edu.au,(07)40684555,(07)40684555,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
30449,Urangan State High School,Urangan State High School,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,1/01/1998,1/01/2024,31/12/2029,,"120 Robert Street, Urangan, QLD, 4655",Queensland,-25.297,152.87576,,School - Government,16973276484,,http://www.uranganshs.eq.edu.au,Anthony McCormack,tmcco60@eq.edu.au,741970111,741970111,Mr Andrew Rye,Public enquiries,,Urangan State High School,arye4@eq.edu.au,,741970101,Mr Meade Barnes,RTO Manager,mbarn146@eq.edu.au,,741970111,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
30451,Wavell State High School,Wavell State High School,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,1/01/1998,1/01/2023,31/12/2028,,"TELOPIA AV, Wavell Heights, QLD, 4012",Queensland,-27.39592,153.03817,,School - Government,77910244653,,http://www.wavellshs.eq.edu.au,Mr Luke Ferdinands,lferd2@eq.edu.au,,733500333,Mr. Cameron Drew,RTO Manager,,Wavell State High School,cdrew47@eq.edu.au,(07)33500337,(07)33500337,Ms. Tara-Lee Griffith,Registration Enquiries,tgrif77@eq.edu.au,,733500337,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
30452,WESTERN CAPE COLLEGE,Western Cape College,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,1/01/1998,1/01/2022,31/12/2027,,"1 Central Ave, ROCKY POINT, QLD, 4874",Queensland,-12.62308,141.88022,,School - Government,30531079796,,http://www.westerncapecollege.com,Mr. Daniel Tonon,dtono1@eq.edu.au,,740906444,Mrs Tacita de Tournouer,RTO Manager,,WESTERN CAPE COLLEGE,tdeto0@eq.edu.au,740906444,740906444,Mr. Harvey Flynn,Registration Enquiries,hflyn24@eq.edu.au,,740906444,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
30455,William Ross State High School,,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,1/01/1998,1/01/2023,31/12/2028,,"Mervyn Crossman Dr, Annandale, QLD, 4814",Queensland,-19.31284,146.80226,,School - Government,82045385152,,https://www.williamrossshs.eq.edu.au,Mr Robert Slater,rslat10@eq.edu.au,400043801,747267666,Mrs Leonie Phelan,VET Registration Enquiries,,William Ross State High School,lphel4@eq.edu.au,747267666,747267666,Mrs Leonie Phelan,VET General Enquiries,lphel4@eq.edu.au,747267666,747267666,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
30456,Woodridge State High School,,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,1/01/1998,1/01/2023,31/12/2028,,"323 Wembley Road, Woodridge, QLD, 4114",Queensland,-27.64299,153.09728,,School - Government,64920334478,,,Mrs Kathleen Janecek,Principal@woodridgeshs.eq.edu.au,,(07)32907222,Ms Kathy-Anne Wooley,Public Enquiries,,Woodridge State High School,kxwoo0@eq.edu.au,732907212,732907212,Ms Kathy-Anne Wooley,Registration Enquiries,kxwoo0@eq.edu.au,732907212,732907212,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
30457,Woree State High School,,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,1/01/1998,1/01/2023,31/12/2028,,"Rigg Street, Cairns Dc, QLD, 4870",Queensland,-16.95821,145.74426,,School - Government,94967157538,,http://www.woreeshs.eq.edu.au,Mr Maurice Andrejic,mandr34@eq.edu.au,(07)40399213,740815211,Mr Harrison Dodd,VET General Enquiries,,Woree State High School,hdodd34@eq.edu.au,,740422490,Mr Harrison Dodd,VET Registration Enquiries,hdodd34@eq.edu.au,,740422490,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
